,career_name_es,faculty_name,link_to_career_curriculum
0,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual",http://www.fadcom.espol.edu.ec/es/dise%C3%B1o-gr%C3%A1fico#overlay-context=es/producci%25C3%25B3n-para-medios-de-comunicaci%25C3%25B3n
1,Producción para Medios de Comunicación,"Facultad de Arte, Diseño y Comunicación Audiovisual",http://www.fadcom.espol.edu.ec/es/producci%C3%B3n-para-medios-de-comunicaci%C3%B3n
2,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual",http://www.fadcom.espol.edu.ec/es/dise%C3%B1o-de-productos
3,Biología,Facultad de Ciencias de la Vida,http://fcv.espol.edu.ec/biolog%C3%ADa-0#overlay-context=posgrados
4,Ingeniería Agrícola y Biológica,Facultad de Ciencias de la Vida,http://fcv.espol.edu.ec/ingenier%C3%ADa-agr%C3%ADcola-y-biol%C3%B3gica-1#overlay-context=
5,Licenciatura en Nutrición y Dietética,Facultad de Ciencias de la Vida,http://fcv.espol.edu.ec/es/licenciatura-en-nutrici%C3%B3n-y-diet%C3%A9tica
6,Logística y Transporte,Facultad de Ciencias Naturales y Matemáticas,http://www.fcnm.espol.edu.ec/ingenier%C3%ADa-en-log%C3%ADstica-y-transporte
7,Estadística,Facultad de Ciencias Naturales y Matemáticas,http://www.fcnm.espol.edu.ec/es/estadistica
8,Ingeniería Química,Facultad de Ciencias Naturales y Matemáticas,http://www.fcnm.espol.edu.ec/ingenier%C3%ADa-qu%C3%ADmica
9,Matemática,Facultad de Ciencias Naturales y Matemáticas,http://www.fcnm.espol.edu.ec/es/matem%C3%A1tica
10,Economía,Facultad de Ciencias Sociales y Humanísticas,http://www.fcsh.espol.edu.ec/es/economia
11,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas,http://www.fcsh.espol.edu.ec/es/administracion_de_empresa
12,Auditoría y Control de Gestión,Facultad de Ciencias Sociales y Humanísticas,http://www.fcsh.espol.edu.ec/es/auditor%C3%ADa-y-control-de_gesti%C3%B3n
13,Arqueología,Facultad de Ciencias Sociales y Humanísticas,http://www.fcsh.espol.edu.ec/es/licenciatura-arqueolog%C3%ADa
14,Turismo,Facultad de Ciencias Sociales y Humanísticas,http://www.fcsh.espol.edu.ec/es/turismo
15,Petróleo,Facultad de Ingeniería en Ciencias de la Tierra,http://www.fict.espol.edu.ec/es/ingenieria-en-petroleo
16,Geología,Facultad de Ingeniería en Ciencias de la Tierra,http://www.fict.espol.edu.ec/es/ingenieria-en-geologia
17,Minas,Facultad de Ingeniería en Ciencias de la Tierra,http://www.fict.espol.edu.ec/es/ingenieria-de-minas
18,Ingeniería Civil,Facultad de Ingeniería en Ciencias de la Tierra,http://www.fict.espol.edu.ec/es/ingenieria-civil
19,Electricidad,Facultad de Ingeniería en Electricidad y Computación,https://www.fiec.espol.edu.ec/es/generalidades-potencia
20,Electrónica y Automatización,Facultad de Ingeniería en Electricidad y Computación,https://www.fiec.espol.edu.ec/es/electronica-y-automatizacion-industrial
21,Telecomunicaciones,Facultad de Ingeniería en Electricidad y Computación,https://www.fiec.espol.edu.ec/es/teleco-generalidades
22,Telemática,Facultad de Ingeniería en Electricidad y Computación,https://www.fiec.espol.edu.ec/es/telematica-generalidades
23,Computación,Facultad de Ingeniería en Electricidad y Computación,https://www.fiec.espol.edu.ec/es/generalidades-comp
24,Mecánica,Facultad de Ingeniería en Mecánica y Ciencias de la Producción,http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecanica
25,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción,http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Alimentos
26,Ingeniería Industrial,Facultad de Ingeniería en Mecánica y Ciencias de la Producción,http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Industrial
27,Materiales,Facultad de Ingeniería en Mecánica y Ciencias de la Producción,http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-en-Materiales
28,Mecatrónica,Facultad de Ingeniería en Mecánica y Ciencias de la Producción,http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica
29,Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar,http://www.fimcm.espol.edu.ec/es/acuicultura/home
30,Ingeniería Naval,Facultad de Ingeniería Marítima y Ciencias del Mar,http://www.fimcm.espol.edu.ec/es/carrera_naval/home
31,Oceonografía,Facultad de Ingeniería Marítima y Ciencias del Mar,http://www.fimcm.espol.edu.ec/es/oceanografia/home
